Loading dataset...
Loading dataset...
{'eval_loss': 0.6868048310279846, 'eval_accuracy': 0.5, 'eval_runtime': 0.0167, 'eval_samples_per_second': 839.749, 'eval_steps_per_second': 119.964, 'epoch': 1.0}
{'eval_loss': 0.6789456009864807, 'eval_accuracy': 0.7857142857142857, 'eval_runtime': 0.0331, 'eval_samples_per_second': 423.133, 'eval_steps_per_second': 60.448, 'epoch': 2.0}
{'eval_loss': 0.67308109998703, 'eval_accuracy': 0.7142857142857143, 'eval_runtime': 0.0248, 'eval_samples_per_second': 563.843, 'eval_steps_per_second': 80.549, 'epoch': 3.0}
{'eval_loss': 0.6647367477416992, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.0285, 'eval_samples_per_second': 491.679, 'eval_steps_per_second': 70.24, 'epoch': 4.0}
{'eval_loss': 0.6568633317947388, 'eval_accuracy': 0.5714285714285714, 'eval_runtime': 0.0275, 'eval_samples_per_second': 509.017, 'eval_steps_per_second': 72.717, 'epoch': 5.0}
{'eval_loss': 0.6491978764533997, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.0272, 'eval_samples_per_second': 514.684, 'eval_steps_per_second': 73.526, 'epoch': 6.0}
{'eval_loss': 0.6403407454490662, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0267, 'eval_samples_per_second': 523.484, 'eval_steps_per_second': 74.783, 'epoch': 7.0}
{'eval_loss': 0.6298077702522278, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0289, 'eval_samples_per_second': 484.695, 'eval_steps_per_second': 69.242, 'epoch': 8.0}
{'eval_loss': 0.6162233352661133, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0288, 'eval_samples_per_second': 485.849, 'eval_steps_per_second': 69.407, 'epoch': 9.0}
{'eval_loss': 0.6009489297866821, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0278, 'eval_samples_per_second': 504.491, 'eval_steps_per_second': 72.07, 'epoch': 10.0}
{'eval_loss': 0.5863019824028015, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0267, 'eval_samples_per_second': 524.822, 'eval_steps_per_second': 74.975, 'epoch': 11.0}
{'eval_loss': 0.574376106262207, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0311, 'eval_samples_per_second': 450.361, 'eval_steps_per_second': 64.337, 'epoch': 12.0}
{'eval_loss': 0.5655921697616577, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0283, 'eval_samples_per_second': 494.766, 'eval_steps_per_second': 70.681, 'epoch': 13.0}
{'eval_loss': 0.5593686699867249, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0277, 'eval_samples_per_second': 505.073, 'eval_steps_per_second': 72.153, 'epoch': 14.0}
{'eval_loss': 0.5515246391296387, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0269, 'eval_samples_per_second': 520.15, 'eval_steps_per_second': 74.307, 'epoch': 15.0}
{'eval_loss': 0.5453832745552063, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0274, 'eval_samples_per_second': 511.75, 'eval_steps_per_second': 73.107, 'epoch': 16.0}
{'eval_loss': 0.5380514860153198, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0268, 'eval_samples_per_second': 521.638, 'eval_steps_per_second': 74.52, 'epoch': 17.0}
{'eval_loss': 0.5321979522705078, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0268, 'eval_samples_per_second': 522.869, 'eval_steps_per_second': 74.696, 'epoch': 18.0}
{'eval_loss': 0.526968777179718, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0262, 'eval_samples_per_second': 534.481, 'eval_steps_per_second': 76.354, 'epoch': 19.0}
{'eval_loss': 0.5212358236312866, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0286, 'eval_samples_per_second': 489.397, 'eval_steps_per_second': 69.914, 'epoch': 20.0}
{'eval_loss': 0.5157074332237244, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0266, 'eval_samples_per_second': 526.842, 'eval_steps_per_second': 75.263, 'epoch': 21.0}
{'eval_loss': 0.5087152123451233, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0338, 'eval_samples_per_second': 414.147, 'eval_steps_per_second': 59.164, 'epoch': 22.0}
{'eval_loss': 0.5031881332397461, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0261, 'eval_samples_per_second': 535.984, 'eval_steps_per_second': 76.569, 'epoch': 23.0}
{'eval_loss': 0.4978235065937042, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0269, 'eval_samples_per_second': 519.957, 'eval_steps_per_second': 74.28, 'epoch': 24.0}
{'eval_loss': 0.49370667338371277, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0345, 'eval_samples_per_second': 405.852, 'eval_steps_per_second': 57.979, 'epoch': 25.0}
{'eval_loss': 0.4893483519554138, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0277, 'eval_samples_per_second': 506.144, 'eval_steps_per_second': 72.306, 'epoch': 26.0}
{'eval_loss': 0.4852425158023834, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0369, 'eval_samples_per_second': 379.034, 'eval_steps_per_second': 54.148, 'epoch': 27.0}
{'eval_loss': 0.4809660315513611, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0259, 'eval_samples_per_second': 540.762, 'eval_steps_per_second': 77.252, 'epoch': 28.0}
{'eval_loss': 0.4770943820476532, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0296, 'eval_samples_per_second': 473.188, 'eval_steps_per_second': 67.598, 'epoch': 29.0}
{'eval_loss': 0.47382283210754395, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0295, 'eval_samples_per_second': 474.668, 'eval_steps_per_second': 67.81, 'epoch': 30.0}
{'eval_loss': 0.4701268970966339, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0334, 'eval_samples_per_second': 418.608, 'eval_steps_per_second': 59.801, 'epoch': 31.0}
{'eval_loss': 0.46654701232910156, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0275, 'eval_samples_per_second': 508.286, 'eval_steps_per_second': 72.612, 'epoch': 32.0}
{'eval_loss': 0.4628215730190277, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0276, 'eval_samples_per_second': 507.237, 'eval_steps_per_second': 72.462, 'epoch': 33.0}
{'eval_loss': 0.4604106843471527, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0307, 'eval_samples_per_second': 455.524, 'eval_steps_per_second': 65.075, 'epoch': 34.0}
{'eval_loss': 0.45764240622520447, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0347, 'eval_samples_per_second': 403.022, 'eval_steps_per_second': 57.575, 'epoch': 35.0}
{'loss': 0.5816, 'grad_norm': 3.502565860748291, 'learning_rate': 2.8571428571428573e-06, 'epoch': 35.71}
{'eval_loss': 0.4543539881706238, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.1306, 'eval_samples_per_second': 107.219, 'eval_steps_per_second': 15.317, 'epoch': 36.0}
{'eval_loss': 0.451704204082489, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0752, 'eval_samples_per_second': 186.214, 'eval_steps_per_second': 26.602, 'epoch': 37.0}
{'eval_loss': 0.44891268014907837, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.029, 'eval_samples_per_second': 483.33, 'eval_steps_per_second': 69.047, 'epoch': 38.0}
{'eval_loss': 0.44650739431381226, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0305, 'eval_samples_per_second': 458.501, 'eval_steps_per_second': 65.5, 'epoch': 39.0}
{'eval_loss': 0.44489923119544983, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0274, 'eval_samples_per_second': 510.837, 'eval_steps_per_second': 72.977, 'epoch': 40.0}
{'eval_loss': 0.44333311915397644, 'eval_accuracy': 0.9285714285714286, 'eval_runtime': 0.0275, 'eval_samples_per_second': 509.022, 'eval_steps_per_second': 72.717, 'epoch': 41.0}
