Loading dataset...
{'eval_loss': 0.6928830742835999, 'eval_accuracy': 0.5714285714285714, 'eval_runtime': 0.0098, 'eval_samples_per_second': 1431.015, 'eval_steps_per_second': 204.431, 'epoch': 1.0}
{'eval_loss': 0.6841820478439331, 'eval_accuracy': 0.5714285714285714, 'eval_runtime': 0.0381, 'eval_samples_per_second': 367.452, 'eval_steps_per_second': 52.493, 'epoch': 2.0}
{'eval_loss': 0.6759691834449768, 'eval_accuracy': 0.5714285714285714, 'eval_runtime': 0.0271, 'eval_samples_per_second': 516.904, 'eval_steps_per_second': 73.843, 'epoch': 3.0}
{'eval_loss': 0.6683710217475891, 'eval_accuracy': 0.5714285714285714, 'eval_runtime': 0.0292, 'eval_samples_per_second': 480.003, 'eval_steps_per_second': 68.572, 'epoch': 4.0}
{'eval_loss': 0.6634725332260132, 'eval_accuracy': 0.5714285714285714, 'eval_runtime': 0.0305, 'eval_samples_per_second': 459.323, 'eval_steps_per_second': 65.618, 'epoch': 5.0}
{'eval_loss': 0.656555712223053, 'eval_accuracy': 0.6428571428571429, 'eval_runtime': 0.025, 'eval_samples_per_second': 561.068, 'eval_steps_per_second': 80.153, 'epoch': 6.0}
{'eval_loss': 0.6489697694778442, 'eval_accuracy': 0.7142857142857143, 'eval_runtime': 0.0277, 'eval_samples_per_second': 505.913, 'eval_steps_per_second': 72.273, 'epoch': 7.0}
{'eval_loss': 0.6409192085266113, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.0244, 'eval_samples_per_second': 572.858, 'eval_steps_per_second': 81.837, 'epoch': 8.0}
{'eval_loss': 0.6317583918571472, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.0278, 'eval_samples_per_second': 504.024, 'eval_steps_per_second': 72.003, 'epoch': 9.0}
{'eval_loss': 0.6207947134971619, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.0281, 'eval_samples_per_second': 497.6, 'eval_steps_per_second': 71.086, 'epoch': 10.0}
{'eval_loss': 0.6092709302902222, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.0283, 'eval_samples_per_second': 494.932, 'eval_steps_per_second': 70.705, 'epoch': 11.0}
{'eval_loss': 0.6007943153381348, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.0261, 'eval_samples_per_second': 535.695, 'eval_steps_per_second': 76.528, 'epoch': 12.0}
{'eval_loss': 0.5919679999351501, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.0283, 'eval_samples_per_second': 494.632, 'eval_steps_per_second': 70.662, 'epoch': 13.0}
{'eval_loss': 0.5838766098022461, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.0249, 'eval_samples_per_second': 563.199, 'eval_steps_per_second': 80.457, 'epoch': 14.0}
{'eval_loss': 0.5763116478919983, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.0269, 'eval_samples_per_second': 519.777, 'eval_steps_per_second': 74.254, 'epoch': 15.0}
{'eval_loss': 0.5689838528633118, 'eval_accuracy': 0.8571428571428571, 'eval_runtime': 0.0291, 'eval_samples_per_second': 481.172, 'eval_steps_per_second': 68.739, 'epoch': 16.0}
